actor_id,film_id
1,361
2,314
2,321
2,357
2,369
2,399
3,329
3,336
3,341
3,393
4,355
4,379
4,398
5,316
5,340
5,369
5,375
5,383
5,392
7,351
8,321
8,396
10,366
11,348
11,364
11,395
12,344
12,400
13,337
13,346
13,381
13,385
14,370
15,326
15,342
16,345
17,310
17,313
17,378
18,321
18,386
20,348
20,366
21,321
21,398
22,349
22,369
23,367
23,370
24,335
25,311
26,327
26,329
26,340
26,345
26,390
26,392
27,334
27,347
27,359
27,398
28,358
29,311
29,335
29,342
30,301
30,318
30,321
30,357
31,308
31,368
31,380
32,309
32,312
33,305
33,306
34,336
34,389
34,393
35,389
36,380
36,381
36,387
36,390
37,317
38,335
38,338
38,353
39,320
40,326
40,374
40,394
40,396
41,305
41,336
41,383
42,309
42,320
42,333
43,330
43,344
43,359
43,377
44,322
45,330
46,319
47,351
47,385
48,312
48,315
48,345
48,349
49,348
49,391
49,400
50,303
50,306
50,327
50,372
51,395
52,341
52,376
52,388
53,307
53,358
53,386
54,301
54,348
55,307
55,320
55,340
56,307
56,354
56,383
57,317
57,340
57,393
58,306
58,316
60,334
60,376
61,307
61,362
61,372
61,374
62,337
62,375
62,385
62,393
62,398
63,392
64,307
64,335
64,345
65,305
65,338
65,347
65,371
65,398
66,342
66,350
66,361
66,376
68,315
68,325
68,331
68,347
68,357
68,378
68,380
68,386
68,396
69,306
69,374
69,396
70,304
70,343
71,317
71,359
71,362
71,385
71,399
72,325
72,331
73,322
73,374
73,379
74,321
75,301
75,347
75,372
76,348
77,343
78,301
78,387
78,393
79,367
80,341
80,342
80,343
80,362
81,304
81,332
81,389
81,398
82,306
82,316
82,344
83,339
83,340
83,369
84,312
84,317
85,337
85,383
86,303
86,331
86,364
86,391
87,312
88,304
89,306
89,342
90,303
90,330
90,363
90,374
90,384
90,385
90,391
91,335
92,338
92,381
93,325
93,339
94,320
94,322
94,337
94,354
95,301
95,312
95,329
95,353
95,375
96,320
97,312
97,342
97,348
97,358
97,370
99,322
99,325
99,381
102,326
102,329
102,334
102,351
103,315
103,318
103,333
103,347
103,356
103,360
103,378
104,309
104,313
104,394
105,315
105,333
105,372
105,377
106,345
106,365
106,399
107,338
107,348
107,369
107,388
107,392
108,302
108,350
108,378
108,379
109,393
110,343
110,360
110,369
111,325
111,359
111,382
112,312
112,322
113,322
113,353
114,305
114,339
115,302
115,379
115,383
115,391
116,336
116,338
116,384
117,316
117,337
117,395
118,311
118,384
118,399
119,381
119,394
121,338
121,353
122,307
122,363
124,306
124,312
124,322
124,343
125,324
125,338
125,361
125,367
125,395
126,317
126,347
126,369
126,370
127,333
127,354
127,366
127,382
127,388
128,312
128,326
128,336
128,345
129,348
129,367
129,391
130,326
130,375
131,320
131,383
132,311
132,345
132,377
133,338
133,342
133,351
133,368
133,385
133,390
133,397
134,341
134,386
135,320
135,353
135,357
135,364
136,364
137,304
137,390
138,376
139,373
140,370
140,373
141,341
141,358
141,380
141,395
142,328
142,350
142,371
143,316
143,339
143,361
143,386
144,312
144,393
144,396
146,314
146,320
146,372
146,384
147,305
147,310
147,318
147,333
147,341
147,351
147,394
148,342
148,368
149,339
149,354
149,362
149,365
150,306
150,386
151,342
151,367
151,370
151,382
152,318
152,332
154,314
154,396
154,399
155,303
155,312
155,359
155,361
155,383
155,387
156,301
156,349
156,379
157,303
157,321
157,326
157,353
157,400
159,342
159,343
159,344
159,364
160,368
161,340
161,353
163,303
163,304
163,307
163,394
164,324
164,347
164,367
165,360
165,375
165,395
166,306
166,326
166,361
166,366
167,319
167,339
167,341
168,305
168,336
168,387
169,301
169,326
169,349
169,372
169,398
170,322
170,358
171,318
171,342
171,397
172,302
172,345
172,368
172,385
173,313
173,379
174,352
175,362
176,303
176,320
177,363
178,311
178,397
179,353
181,301
181,311
181,381
181,387
182,301
182,324
182,346
182,362
182,391
183,313
183,388
183,389
183,390
184,336
184,371
185,360
187,354
187,379
188,311
188,322
188,338
188,396
189,315
189,378
190,310
190,374
191,378
192,361
192,367
193,352
193,358
193,376
194,352
195,359
195,361
195,392
196,303
196,324
197,364
197,369
197,370
198,303
198,309
198,311
198,329
198,347
198,379
198,395
200,346
